,dipole_smiles
88,CNC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
89,COC(=O)[C-](C#N)[N+](C)=C(C)C
90,CNC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
91,CNC(=O)[N-][NH+]=Nc1ccccc1
92,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
93,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C
94,CN=[N+](C)[O-]
95,CC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
96,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
97,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
98,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC
99,CNC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
100,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
101,COC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1
102,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)NC
103,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
104,CNC(=O)c1oc(=O)[n-][n+]1C
105,CNC(=O)[N-][N+](C)=N
106,CN=[NH+][N-]C(C)=O
107,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)c1ccccc1
108,CC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
109,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
110,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)c1ccccc1
111,COC(=O)c1oc(=O)[n-][n+]1C
112,C[c-]1c(=O)on[n+]1C
113,Cc1oc(=O)[n-][n+]1C
114,COC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
115,C[n+]1[n-]c(=O)oc1-c1ccccc1
116,CC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
117,COC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
118,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
119,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(C)=O
120,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)C(=O)OC
121,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(C)=O
122,CC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
123,CNC(=O)[C-]([N+]#N)C(C)=O
124,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
125,C[n+]1c(-c2ccccc2)oc(=O)[c-]1C#N
126,CC(=O)C(C#N)=[NH+][C-](c1ccccc1)c1ccccc1
127,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
128,CNC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(C)=O
129,COC(=O)[c-]1c(=O)on[n+]1C
130,CC(=O)[C-](C#N)[N+](C)=C(C)C
131,C[n+]1noc(=O)[c-]1-c1ccccc1
132,CNC(=O)N=[N+](C)[O-]
133,COC(=O)c1[nH+][n-]c(=O)o1
134,CC(=O)[C-](C#N)[NH+]=C(c1ccccc1)c1ccccc1
135,CNC(=O)C(C(=O)NC)=[N+](C)[C-](c1ccccc1)c1ccccc1
136,CC(=O)[N-][N+](C)=N
137,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
138,CNC(=O)C(C(=O)NC)=[N+](C)[O-]
139,CC(=O)C(C)=[N+](C)[C-](c1ccccc1)c1ccccc1
140,CC(=O)[C-]([N+]#N)C(C)=O
141,COC(=O)N=[NH+][O-]
142,COC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
143,COC(=O)[C-]([NH+]=C(C)c1ccccc1)C(C)=O
144,CNC(=O)C(C)=[N+](C)[C-](C(=O)OC)C(=O)OC
145,COC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(=O)OC
146,COC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
147,CNC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
148,COC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(=O)OC
149,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
150,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
151,C[N+]([O-])=C(c1ccccc1)c1ccccc1
152,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C)c1ccccc1
153,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(=O)NC)c1ccccc1
154,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
155,CC(=O)c1[nH+][n-]c(=O)o1
156,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1
157,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)OC
158,CNC(=O)[N-][N+]#N
159,COC(=O)N=[N+](C)[O-]
160,CNC(=O)C(C)=[N+](C)[C-](C(=O)NC)C(=O)OC
161,CN=[NH+][O-]
162,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
163,CC(=O)[c-]1[nH+]c(C)oc1=O
164,Cc1oc(=O)[c-](C#N)[n+]1C
165,COC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
166,CC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
167,COC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
168,CC(c1ccccc1)=[N+](C)[C-](C#N)C#N
169,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(=O)OC
170,COC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
171,CNC(=O)[C-](C(=O)NC)[N+](C)=C(c1ccccc1)c1ccccc1
172,CNC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
173,CNC(=O)[C-]([N+]#N)C(=O)OC
174,CC(=O)[c-]1c(=O)oc(C)[n+]1C
175,CC(=O)N=[NH+][O-]
176,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(C)=O
177,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
178,COC(=O)[N-][N+](C)=N
179,CC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
180,CNC(=O)[C-](C#N)[N+]#N
181,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)c1ccccc1
182,CC(=O)[c-]1c(=O)on[n+]1C
183,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
184,COC(=O)[C-](C(C)=O)[N+](C)=C(C)C
185,COC(=O)[C-]([N+]#N)C(C)=O
186,COC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
187,CC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
188,CC(=O)N=[N+](C)[NH-]
189,COC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
190,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
191,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
192,CNC(=O)[C-]([N+]#N)C(=O)NC
193,COC(=O)[c-]1c(=O)oc(C)[n+]1C
194,CC(=O)[N-][N+]#N
195,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)C(C)=O
196,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
197,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
198,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(=O)OC)C(=O)OC
199,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
200,CC(=O)C(C)=[N+](C)[O-]
201,COC(=O)[N-][NH+]=N
202,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
203,CC(=O)C(c1ccccc1)=[N+](C)[C-](C)c1ccccc1
204,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)C(C)=O
205,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)c1ccccc1
206,CNC(=O)[N-][NH+]=NC(C)=O
207,COC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
208,C[N+]([O-])=Nc1ccccc1
209,COC(=O)[C-](C#N)[N+]#N
210,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
