,dipole
97,CNC(=O)[C-]([NH+]=C(C(C)=O)c1ccccc1)C(=O)OC
98,COC(=O)C(=[NH+][C-](C#N)c1ccccc1)c1ccccc1
99,CNC(=O)[N-][NH+]=C(C(=O)NC)c1ccccc1
100,CNC(=O)[C-](C#N)[NH+]=C(C#N)C(=O)OC
101,[CH2-][NH+]=C(C(C)=O)c1ccccc1
102,CC(=O)C(C#N)=[N+](C)[NH-]
103,COC(=O)[C-](C#N)[O+]=C(C)C
104,CNC(=O)[C-]([NH+]=CC#N)C(=O)OC
105,CC(=O)[CH-][N+](C)=CC#N
106,CNC(=O)C(C)=[NH+][C-](C#N)c1ccccc1
107,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C)C(C)=O
108,COC(=O)[C-](C#N)[N+](C)=CC(C)=O
109,COC(=O)C(C#N)=[N+](C)[C-](C(C)=O)c1ccccc1
110,CC(=O)[C-]([NH+]=C(C#N)c1ccccc1)C(C)=O
111,CC(=O)C=[N+](C)[CH-]C#N
112,CNC(=O)[C-](C#N)[NH+]=CC(C)=O
113,COC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)OC
114,CNC(=O)C(=[NH+][CH-]C(=O)OC)C(=O)OC
115,COC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C#N
116,COC(=O)C(=[NH+][C-](C)C)C(C)=O
117,CC=[N+](C)[N-]C
118,COC(=O)[CH-][N+](C)=C(C)C(=O)OC
119,CC=[O+][N-]C(=O)NC
120,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)C(=O)OC
121,CNC(=O)C(C#N)=[NH+][C-](C(C)=O)C(=O)OC
122,CNC(=O)[C-]([NH+]=C(C)C#N)C(C)=O
123,CNC(=O)C(=[O+][C-](C#N)C(=O)OC)C(=O)OC
124,CNC(=O)[C-](C#N)[N+](C)=CC(=O)OC
125,N#C[N-][O+]=Cc1ccccc1
126,CC=[O+][CH-]C
127,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C#N)c1ccccc1
128,COC(=O)[C-](C#N)[O+]=C(C#N)C(C)=O
129,CC=[NH+][C-](C#N)c1ccccc1
130,CC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
131,CNC(=O)[C-]([O+]=C(C#N)C(=O)OC)C(=O)NC
132,C[N-][NH+]=NC(=O)OC
133,COC(=O)[C-]([O+]=CC#N)C(C)=O
134,COC(=O)[C-](C)[O+]=C(C#N)C(C)=O
135,COC(=O)C(=[NH+][C-](C#N)C#N)C(C)=O
136,C[N-][NH+]=NC#N
137,CNC(=O)[CH-][N+](C)=C(C#N)c1ccccc1
138,CNC(=O)[C-](C)[NH+]=C(C)C
139,CC(=O)[CH-][NH+]=C(C(C)=O)C(C)=O
140,C[N-][NH+]=CC(=O)NC
141,COC(=O)C(=[O+][C-](C)C)C(=O)OC
142,CC(C#N)=[NH+][N-]C#N
143,CNC(=O)[C-]([NH+]=C(C)C(C)=O)C(=O)OC
144,CC(c1ccccc1)=[N+](C)[C-](C)c1ccccc1
145,N#CC(=[NH+][O-])c1ccccc1
146,CNC(=O)C(C)=[NH+][C-](C(C)=O)C(C)=O
147,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
148,CNC(=O)[C-]([NH+]=Cc1ccccc1)C(=O)OC
149,CNC(=O)[N-][N+](C)=CC(C)=O
150,CNC(=O)[N-][N+](C)=C(C)c1ccccc1
151,CNC(=O)[C-](C#N)[NH+]=C(C(=O)OC)C(=O)OC
152,COC(=O)[N-][O+]=C(C)c1ccccc1
153,CNC(=O)[N-][NH+]=CC#N
154,CNC(=O)C(C)=[N+](C)[C-](C)c1ccccc1
155,C=[NH+][N-]C(=O)OC
156,COC(=O)C(C#N)=[O+][CH-]C#N
157,CC(=O)C(=[O+][C-](C(C)=O)c1ccccc1)c1ccccc1
158,CNC(=O)C(C#N)=[O+][C-](C#N)c1ccccc1
159,COC(=O)C=[O+][CH-]C(C)=O
160,CNC(=O)C(C)=[NH+][C-](C)c1ccccc1
161,CNC(=O)C(c1ccccc1)=[N+](C)[CH-]c1ccccc1
162,COC(=O)[C-](C)[N+](C)=C(c1ccccc1)c1ccccc1
163,CC(=O)[N-][N+](C)=C(C(C)=O)c1ccccc1
164,CC(=O)[N-][O+]=C(C#N)C#N
165,CNC(=O)[C-]([O+]=C(C#N)C#N)C(C)=O
166,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)NC)C(=O)OC
167,CC(=O)[C-](C#N)[O+]=Cc1ccccc1
168,CNC(=O)C=[NH+][C-](C)C
169,C[CH-][NH+]=C(C)C(C)=O
170,CNC(=O)N=[NH+][N-]C(=O)NC
171,C[N-][NH+]=C(C)C(C)=O
172,CNC(=O)C(=[NH+][C-](C(=O)NC)C(=O)NC)C(C)=O
173,CNC(=O)C(C)=[O+][CH-]c1ccccc1
174,COC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1
175,COC(=O)C(=[O+][CH-]C#N)C(C)=O
176,COC(=O)C(C#N)=[N+](C)[N-]C#N
177,COC(=O)[CH-][NH+]=C(C)C(=O)OC
178,CNC(=O)[C-](C)[NH+]=C(C)C(=O)OC
179,CNC(=O)C(C)=[NH+][CH-]C#N
180,C[N-][NH+]=Cc1ccccc1
181,COC(=O)C(=[O+][C-](C(C)=O)c1ccccc1)C(=O)OC
182,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)C(=O)OC
183,C[N+]([CH-]C#N)=C(C#N)c1ccccc1
184,CC(C)=[N+](C)[O-]
185,C[N-][N+](C)=C(C)c1ccccc1
186,[CH2-][O+]=Cc1ccccc1
187,CC(C#N)=[O+][C-](C)C#N
188,[NH-][NH+]=C(c1ccccc1)c1ccccc1
189,CNC(=O)C(=[NH+][N-]C(C)=O)C(=O)OC
190,CC=[NH+][N-]C(C)=O
191,CNC(=O)[C-](C#N)[N+](C)=C(C#N)C(=O)OC
192,N#CC(=[O+][CH-]c1ccccc1)c1ccccc1
193,C[CH-][NH+]=C(C)C(=O)OC
194,COC(=O)C(C#N)=[N+](C)[CH-]C(C)=O
195,COC(=O)[C-]([NH+]=C(C(C)=O)c1ccccc1)c1ccccc1
196,CNC(=O)C(=[O+][N-]C#N)c1ccccc1
197,COC(=O)[CH-][NH+]=CC#N
198,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)OC
199,COC(=O)[C-]([NH+]=C(C#N)c1ccccc1)C(C)=O
