,dipole_smiles
0,O=c1[n-][nH+]c(-c2ccccc2)o1
1,COC(=O)[c-]1[nH+]c(C)oc1=O
2,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
3,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C
4,CC(=O)[C-](C#N)[N+](C)=C(C)C
5,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
6,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
7,CNC(=O)c1oc(=O)[n-][n+]1C
8,COC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
9,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)OC
10,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)NC
11,CN=[NH+][N-]C(=O)NC
12,COC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
13,C[n+]1[n-]c(=O)oc1-c1ccccc1
14,CC(=O)[c-]1c(=O)oc(C)[n+]1C
15,CC(=O)N=[NH+][N-]C(C)=O
16,CC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
17,COC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
18,CNC(=O)[N-][N+](C)=N
19,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
20,C[n+]1c(-c2ccccc2)oc(=O)[c-]1C#N
21,COC(=O)N=[N+](C)[O-]
22,CC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
23,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(C)=O
24,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
25,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(=O)NC)c1ccccc1
26,COC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(C)=O
27,COC(=O)[C-](C#N)[N+](C)=C(C)C
28,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
29,COC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
30,CC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
31,CC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
32,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)c1ccccc1
33,CNC(=O)[N-][NH+]=N
34,CC(=O)N=[N+](C)[NH-]
35,CC(=O)c1[nH+][n-]c(=O)o1
36,COC(=O)c1oc(=O)[n-][n+]1C
37,COC(=O)[C-](C(C)=O)[N+](C)=C(C)C
38,CNC(=O)N=[NH+][N-]C(=O)OC
39,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
40,C[C-](c1ccccc1)[N+](C)=C(C#N)C#N
41,COC(=O)[C-]([N+]#N)C(=O)OC
42,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)C(C)=O
43,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
44,CC(=O)N=[NH+][O-]
45,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)C(=O)NC
46,COC(=O)[c-]1[nH+]noc1=O
47,COC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
48,CNC(=O)[C-]([N+]#N)C(=O)NC
49,CC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
50,C[N+](=C(C#N)C#N)[C-](c1ccccc1)c1ccccc1
51,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
52,CC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
