,dipole_smiles
78,COC(=O)[c-]1c(=O)on[n+]1C
79,C[n+]1[n-]c(=O)oc1-c1ccccc1
80,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
81,CN=[NH+][O-]
82,C[C-](c1ccccc1)[N+](C)=C(C#N)C#N
83,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
84,CC(=O)c1[nH+][n-]c(=O)o1
85,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(C)=O
86,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
87,COC(=O)N=[N+](C)[NH-]
88,CNC(=O)[C-](C)[N+](C)=C(C(=O)OC)C(=O)OC
89,CNC(=O)C(C)=[N+](C)[C-](C(=O)NC)C(=O)OC
90,CNC(=O)[N-][N+]#N
91,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(=O)OC
92,CNC(=O)c1oc(=O)[n-][n+]1C
93,CNC(=O)[N-][N+](C)=N
94,CC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
95,CNC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
96,CC(=O)[c-]1c(=O)oc(C)[n+]1C
97,CNC(=O)[N-][NH+]=NC(C)=O
98,Cc1oc(=O)[n-][n+]1C
99,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)NC
100,COC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)c1ccccc1
101,COC(=O)c1[nH+][n-]c(=O)o1
102,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
103,CC(=O)[N-][NH+]=Nc1ccccc1
104,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C
105,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
106,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)OC
107,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)C(=O)OC
108,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)c1ccccc1
109,CN=[N+](C)[N-]C(C)=O
110,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC
111,CN=[NH+][N-]C(=O)NC
112,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
113,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
114,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
115,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
116,CC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
117,CC(=O)[c-]1c(=O)on[n+]1C
118,CNC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
119,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
120,CNC(=O)c1[nH+][n-]c(=O)o1
121,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
122,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C(=O)NC
123,CN=[N+](C)[N-]C(=O)NC
124,CNC(=O)C(C)=[N+](C)[C-](C(=O)OC)C(=O)OC
125,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
126,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)c1ccccc1
127,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)c1ccccc1
128,COC(=O)[N-][N+](C)=N
129,CC(=O)[C-](C#N)[N+](C)=C(C)C
130,COC(=O)[c-]1[nH+]c(C)oc1=O
131,COC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
132,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)C#N
133,CC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
134,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
135,CNC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
136,COC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
137,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(=O)OC)C(=O)OC
138,C[N+]([O-])=C(c1ccccc1)c1ccccc1
139,COC(=O)C(C#N)=[N+](C)[C-](C)C
140,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)OC
141,COC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
142,CC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)c1ccccc1
143,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)c1ccccc1
144,C[n+]1noc(=O)[c-]1-c1ccccc1
145,C[N+](=C(C#N)C#N)[C-](c1ccccc1)c1ccccc1
146,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(=O)OC)c1ccccc1
147,Cc1oc(=O)[c-](C#N)[n+]1C
148,CC(=O)C(=[NH+][C-](C(C)=O)C(C)=O)c1ccccc1
149,COC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
150,CC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
151,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
152,COC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
153,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
154,CNC(=O)N=[NH+][N-]C(=O)NC
155,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)NC
156,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)C(C)=O
157,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
158,COC(=O)[N-][NH+]=Nc1ccccc1
159,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(C)=O
160,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
161,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(C)=O
162,CNC(=O)[C-]([N+]#N)C(=O)OC
163,CC(=O)[c-]1[nH+]noc1=O
164,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
165,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
166,CNC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
167,CC(=O)c1oc(=O)[n-][n+]1C
168,COC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
169,COC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
170,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
171,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
172,COC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
173,COC(=O)[C-]([N+]#N)C(=O)OC
174,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
175,CNC(=O)[N-][NH+]=Nc1ccccc1
176,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
177,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1
178,COC(=O)[C-](C#N)[N+](C)=C(C)C
179,CN=[NH+][N-]C(C)=O
180,CNC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
181,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
182,CC(=O)[c-]1[nH+]c(C)oc1=O
183,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(=O)OC
184,CNC(=O)[C-]([N+]#N)C(=O)NC
185,CNC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
186,COC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
187,CNC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
188,COC(=O)[C-]([N+]#N)C(C)=O
189,COC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
190,COC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(C)=O
191,CC(=O)[C-]([N+]#N)C(C)=O
