,dipole_smiles
0,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
1,CC(=O)N=[N+](C)[NH-]
2,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
3,[O-][NH+]=C(c1ccccc1)c1ccccc1
4,CC(=O)N=[N+](C)[O-]
5,CNC(=O)C(C(=O)NC)=[N+](C)[C-](c1ccccc1)c1ccccc1
6,CN=[NH+][N-]C(=O)OC
7,COC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
8,CC(=O)N=[NH+][O-]
9,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)c1ccccc1
10,CNC(=O)[C-](C(=O)NC)[N+](C)=C(c1ccccc1)c1ccccc1
11,COC(=O)N=[NH+][O-]
12,COC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
13,CC(=O)C(C#N)=[N+](C)[C-](C)C
14,CC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
15,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
16,CC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
17,CNC(=O)[c-]1c(=O)on[n+]1C
18,CC(=O)C(C#N)=[NH+][C-](c1ccccc1)c1ccccc1
19,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
20,CNC(=O)[C-]([N+]#N)C(C)=O
21,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
22,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC
23,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C
24,CC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
25,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)c1ccccc1
26,CC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
27,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(=O)OC
28,CC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
29,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(=O)OC)c1ccccc1
30,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
31,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
32,COC(=O)c1oc(=O)[n-][n+]1C
33,COC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
34,COC(=O)[c-]1c(=O)oc(C)[n+]1C
35,COC(=O)[c-]1[nH+]noc1=O
36,CC(=O)[N-][N+](C)=N
37,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
38,N#C[c-]1[nH+]c(-c2ccccc2)oc1=O
39,CNC(=O)[N-][N+](C)=Nc1ccccc1
40,CN=[N+](C)[O-]
41,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C
42,CNC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
43,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)OC
44,COC(=O)[C-](C(C)=O)[N+](C)=C(C)C
45,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C
46,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
47,COC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
48,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
49,C[c-]1c(=O)on[n+]1C
50,O=c1on[nH+][c-]1-c1ccccc1
51,CNC(=O)N=[N+](C)[O-]
52,CC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
53,COC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
54,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)c1ccccc1
55,CNC(=O)[c-]1[nH+]noc1=O
56,COC(=O)N=[N+](C)[O-]
57,C[N+](=C(c1ccccc1)c1ccccc1)[C-](c1ccccc1)c1ccccc1
58,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(=O)NC)c1ccccc1
59,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
60,CN=[N+](C)[N-]C(=O)OC
61,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C)c1ccccc1
62,CNC(=O)[N-][NH+]=N
63,COC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
64,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
65,C[N-][N+]#N
66,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
67,COC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
68,CC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
69,CC(=O)C(c1ccccc1)=[N+](C)[C-](C)c1ccccc1
70,CNC(=O)N=[NH+][O-]
71,COC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
72,C[N+]([O-])=Nc1ccccc1
73,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
74,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)C(C)=O
75,O=c1[n-][nH+]c(-c2ccccc2)o1
76,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)c1ccccc1
77,C[c-]1[nH+]noc1=O
