,dipole_smiles
87,CC(=O)[c-]1c(=O)on[n+]1C
88,O=c1[n-][nH+]c(-c2ccccc2)o1
89,CC(=O)[N-][NH+]=N
90,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C
91,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(=O)OC
92,CN=[NH+][O-]
93,COC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
94,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
95,COC(=O)[C-]([NH+]=C(C)c1ccccc1)C(C)=O
96,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)OC
97,COC(=O)[C-](C#N)[N+](C)=C(C)C
98,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
99,CC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
100,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
101,CNC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(C)=O
102,CNC(=O)c1oc(=O)[n-][n+]1C
103,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)NC
104,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
105,C[n+]1noc(=O)[c-]1-c1ccccc1
106,C[N-][N+]#N
107,CC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
108,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
109,COC(=O)[c-]1c(=O)oc(C)[n+]1C
110,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
111,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
112,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
113,CNC(=O)[C-](C(=O)NC)[N+](C)=C(c1ccccc1)c1ccccc1
114,C[N+](=C(c1ccccc1)c1ccccc1)[C-](c1ccccc1)c1ccccc1
115,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
116,CC(=O)[C-]([NH+]=C(C)c1ccccc1)C(C)=O
117,CC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
118,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
119,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
120,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
121,CC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(C)=O
122,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(=O)OC
